fips,country,state,county,lat,long,pop19
48029,US,Texas,Bexar,29.44928723,-98.52019748,2003554
29019,US,Missouri,Boone,38.99186229,-92.30723575,180463
36007,US,New York,Broome,42.15903158,-75.81326086,190488
51031,US,Virginia,Campbell,37.20553386,-79.09678609,54885
53011,US,Washington,Clark,45.77568046,-122.48292040000001,488241
18023,US,Indiana,Clinton,40.30319754,-86.47277257,32399
17031,US,Illinois,Cook,41.84144849,-87.81658794,5150233
5031,US,Arkansas,Craighead,35.83018283,-90.63235729,110332
48113,US,Texas,Dallas,32.76670599,-96.77796049999999,2635516
48157,US,Texas,Fort Bend,29.52704478,-95.77219463,811688
47055,US,Tennessee,Giles,35.20222469,-87.03992678,29464
24025,US,Maryland,Harford,39.55010644,-76.30775940000001,255441
13153,US,Georgia,Houston,32.45802497,-83.66879087,157863
6029,US,California,Kern,35.34329425,-118.72777959999999,900202
47103,US,Tennessee,Lincoln,35.13738622,-86.58910106,34366
19113,US,Iowa,Linn,42.07923082,-91.59809485,226706
42081,US,Pennsylvania,Lycoming,41.34310539,-77.06629984,113299
37119,US,North Carolina,Mecklenburg,35.24469268,-80.8317671,1110356
25021,US,Massachusetts,Norfolk,42.16073095,-71.20530408,706775
12095,US,Florida,Orange,28.51367621,-81.31799498,1393452
4021,US,Arizona,Pinal,32.90525627,-111.3449483,462789
55105,US,Wisconsin,Rock,42.67151616,-89.07147900000001,163354
49035,US,Utah,Salt Lake,40.66616532,-111.92160109999999,1160437
6071,US,California,San Bernardino,34.84060306,-116.1774685,2180085
20177,US,Kansas,Shawnee,39.04100763,-95.75572640000001,176875
6099,US,California,Stanislaus,37.55862499,-120.9970722,550660
39151,US,Ohio,Stark,40.81482476,-81.36437305,370606
48439,US,Texas,Tarrant,32.77143818,-97.29101614,2102515
17183,US,Illinois,Vermilion,40.18417171,-87.73384359,75758
39169,US,Ohio,Wayne,40.82925852,-81.88844833,115710
9015,US,Connecticut,Windham,41.82972709,-71.98182316,116782
42133,US,Pennsylvania,York,39.9210089,-76.73040131,449058
