state,county
Texas,Bexar
Missouri,Boone
New York,Broome
Virginia,Campbell
Washington,Clark
Indiana,Clinton
Illinois,Cook
Arkansas,Craighead
Texas,Dallas
Colorado,DENVER
Texas,Fort Bend
Tennessee,Giles
Maryland,Harford
Georgia,Houston
California,Kern
Tennessee,Lincoln
Iowa,Linn
Pennsylvania,Lycoming
North Carolina,Mecklenburg
Massachusetts,Norfolk
Florida,Orange
Arizona,Pinal
Wisconsin,Rock
Utah,Salt Lake
California,San Bernardino
Kansas,Shawnee
California,Stanislaus
Ohio,Stark
Texas,Tarrant
Illinois,Vermilion
Ohio,Wayne
Connecticut,Windham
Pennsylvania,York
